Karey	kyd	kartáo	mouse/rat?	**kartá[βw](u)	\cite{Nivens2017}
Batuley	bay	kartá	mouse/rat?	**kartá[βw](u)	\cite{Nivens2017}
Mariri	mqi	kartáw	mouse/rat?	**kartá[βw](u)	\cite{Nivens2017}
NE. Tarangan	tre	kartɔ	rat	**kartá[βw](u)	\cite{Nivens2017}
SE. Tarangan	tre	kartawtáw	mouse	**kartá[βw](u)	\cite{Nivens2017}
NW. Tarangan	txn	kartɔ	rat	**kartá[βw](u)	\cite{Nivens2017}
SW. Tarangan	txn	kartɔw	rat	**kartá[βw](u)	\cite{Nivens2017}
Lisela	lcl	blafen	cuscus	misc.	\cite{GrimesGrimes2020}	(loan?)
Buru, Masarete & Rana	mhs	tonal	cuscus	(**taŋali)	\cite{GrimesGrimes2020}	(loan)}
Buru, Wae Sama	mhs	lemet	cuscus	misc.	\cite{GrimesGrimes2020}
Ambelau	amv	mate	marsupial	**mantəR	\cite[36]{Collins1981}	(*nt > \it{t})
East Alune	alp	marel,	cuscus,	**mantəR,	\cite[196]{Ellen1993},
		sibakw-e	female cuscus	**sibaw 	\cite[298]{Niggemeyer1951b}
West Alune	alp	maʧel	cuscus	**mantəR	\cite[305]{vanEkris1864}
Naka'ela	nae	sihaw-e	marsupial sp.	**sibaw	\cite[49]{Collins1983}
Hulung	huk	sipa	marsupial	**sibaw	\cite[49]{Collins1983}
Kayeli	kzl	maren	cuscus	**mantəR	\cite[40]{Stresemann1927}
S. Wemale	tlw	madel-e	marsupial	**mantəR	\cite[55]{Collins1983}
N. Wemale	weo	marel-e	marsupial	**mantəR	\cite[55]{Collins1983}
Batumerah		marel-a	cuscus	**mantəR	\cite[254]{Ludeking1868}
Manipa	mqp	marel-e	marsupial	**mantəR	\cite[68]{Collins1983}
Piru	ppr	marel	cuscus	**mantəR	\cite[305]{vanEkris1864}
Larike	alo	márid-u	cuscus	**mantəR	\cite[77]{LaidigLaidig1991}
Wakasihu	alo	maril-u	marsupial	**mantəR	\cite[68]{Collins1983}
Alang	alo	maril-u	marsupial	**mantəR	\cite[84]{Collins1983}
Asilulu	asl	marel	cuscus	**mantəR	\cite[70]{Collins2003b}
Paulohi	plh	makel-e	cuscus	**mantəR	\cite[130]{Stresemann1918}, \cite[196]{Ellen1993}
Kaibobo	kzb	makel	cuscus	**mantəR	\cite[305]{vanEkris1864}
Hitu	htu	makel	cuscus	**mantəR	\cite[68]{Collins1983}, \cite[196]{Ellen1993}
Kamarian	kzx	maker	cuscus	**mantəR	\cite[305]{vanEkris1864}
Haruku	hrk	makel	cuscus	**mantəR	\cite[305]{vanEkris1864}
Kailolo	hrk	makel-e	marsupial	**mantəR	\cite[68]{Collins1983}
Saparua	spr	makel	cuscus	**mantəR	\cite[305]{vanEkris1864}
Latu	ltu	makell-o	marsupial	**mantəR	\cite[68]{Collins1983}
Nusalaut	nul	makel	cuscus	**mantəR	\cite[305]{vanEkris1864}
Amahai	amq	maker-o	cuscus	**mantəR	\cite[43]{Stresemann1918}
Yalahatan 	jal	marer-e,	cuscus,	**mantəR,	\cite{BeckleyND}
		mare siha	female cuscus	**sibaw	
S. Nuaulu	nxl	maran-e,	cuscus,	**mantəR,	\cite[196]{Ellen1993}
		siha	female cuscus	**sibaw	\cite[65, 102]{Bolton-Grimes1990,MatokeBolton2005}
Manusela	wha	ihisi	cuscus	misc.	\cite{MacDonald2015}
Liana-Seti	ste	mair-a	cuscus	**mantəR	\cite{McCollum-Grimes1990}
Benggoi	bgy	med-am	cuscus	**mantəR	Nicholas Williams (pers. comm. July 2024)
Hoti	hti	mala	cuscus	**mantəR	\cite[101]{Stresemann1927}
S. Nuaulu	nxl	imanona	marsupial (long nose, smaller than cuscus);		\cite{Bolton-Grimes1990};
			big rat;		\cite[43]{MatokeBolton2005}
		tui-tui	Seram long-nosed bandicoot, \it{Rhynchomeles prattorum} ?;		Roy Ellen pers. comm. July 2024; 
			civet 		\cite[114]{MatokeBolton2005} 
Manusela	wha	mape-a	Seram long-nosed bandicoot, \it{Rhynchomeles prattorum}		\cite{MacDonald2015}
Masiwang	bnf	mani	cuscus	*manuk	\cite[358]{LeCocqdArmandville1901}		\midrule
Bati	bvt	manuk faniki	cuscus	*manuk	\cite[196]{Ellen1993}
Geser	ges	kidor	cuscus	**kindoR	\cite[196]{Ellen1993}
Gorom	ges	iˈdoʔ;	cuscus	**kindoR	\cite{Visser2019a};
		‹i'do›	cuscus	**kindoR	\cite[51]{Kakerissa1986}
Watubela	wah	kadola	cuscus	**kVndoR(a)	\cite[241]{Blust1982} from Collins
Kesui	wah	udora	cuscus	**kVndoR(a)	\cite[241]{Blust1982} from Collins
Kowiai	kwh	indor	cuscus	**kindoR	\cite{WalkerWalker1991}
Teor	tev	medar	cuscus	**məntəR	Craig Marshall pers. comm. September 2025
Yamdena 	jmd	manr-e	(white) cuscus	**məntəR	\cite{MettlerMettler1996}, \cite[65]{Drabbe1932b}
Fordata	frd	medar	cuscus	**məntəR	\cite{MarshallMarshall-Grimes1990}
Fordata, Sera	frd	kandruə	rat	**kVndoR(a)/**kazupay	\cite{MarshallMarshall-Grimes1990}
Kei Kecil	kei	medar;	cuscus;	**məntəR	\cite{Travis2019}
		leman	tan-coloured cuscus	misc.
Kei Besar	kei	mendar	cuscus	**məntəR	\cite[196]{Ellen1993}
Uruangnirin	urn	pora	cuscus	misc.	\cite{Visser2023}
Onin	oni	ket	cuscus	misc.	\cite{Donohue2010}
Sekar	skz	ket	cuscus	misc.	\cite{Donohue2010}
Arguni	agf	ʔara waked	cuscus	**waked	\cite{Narfafan2011}
Erokwanas	erw	matafeis	cuscus	**mantəR	\cite{Donohue2010}
Irarutu	irh	ʤemug	cuscus	misc.	\cite[224]{Jackson2014}
Kuri	nbn	auˈɛs	opossum	misc.	SV \citeyear[248]{SmitsVoorhoeve1992b}
Kei Kecil	kei	halee	mouselike marsupial		\cite{Travis2019}
Kei Besar	kei	‹helé›	andicoot		\cite[196]{Ellen1993}
Uruangnirin	urn	yawat kawer;	bandicoot;		\cite{Visser2023} (lit. `earth rat')
		yawat	mouse, rat	
Onin-1	oni	yawat	marsupial, mouse		SV \citeyear[237, 243]{SmitsVoorhoeve1992a}
Onin-2	oni	yawar teroba	bandicoot		\cite{Donohue2010} (lit. `earth rat')
Sekar	skz	kawat	marsupial		SV \citeyear[237]{SmitsVoorhoeve1992a}
Arguni	agf	rawake	marsupial		SV \citeyear[237]{SmitsVoorhoeve1992a} (C. met.?)
Erokwanas	erw	adobat	rat, marsupial		\cite{Donohue2010}
Kowiai-1	kwh	ɸanai	tree wallaby	misc.	\cite{WalkerWalker1991} (Mly. \it{lao-lao)}
Kowiai-2	kwh	waŋguria	tree wallaby	**waked	SV \citeyear[263]{SmitsVoorhoeve1992b}
Uruangnirin	urn	taˈker	tree wallaby		\cite{Visser2023}
Onin	oni	kisor;	tree wallaby	{\#}kisor(o);	SV \citeyear[263]{SmitsVoorhoeve1992b},
		kerá	tree wallaby	misc.	\cite{Donohue2010}
Sekar	skz	tamtik	tree wallaby	misc.	SV \citeyear[263]{SmitsVoorhoeve1992b}
Arguni	agf	oyambo	tree wallaby	misc.	SV \citeyear[263]{SmitsVoorhoeve1992b}
Erokwanas	erw	wayambu	tree kangaroo	misc.	\cite{Donohue2010}
Irarutu	irh	waire;	tree wallaby;	**waked;	SV \citeyear[263]{SmitsVoorhoeve1992b};
		amoro	tree wallaby	**amoR	SV \citeyear[263]{SmitsVoorhoeve1992b}
Kei	kei	laʔe;	kangaroo; 	misc.	\cite{Travis2019}
		aha;	wallaby; 	misc.		(Mly. \it{kangguru pohon} `tree kangaroo')
		ha	wallaby	misc.		(Mly. \it{sm kangguru yg agak kecil} `k.o. kangaroo which is rather small')
Uruangnirin	urn	taˈpar	k.o. kangaroo	misc.	\cite{Visser2023}	(Mly. \it{lalau})
Onin	oni	wekar	kangaroo	**waked	SV \citeyear[241]{SmitsVoorhoeve1992b}
Sekar	skz	wekar;	kangaroo;	**waked;	SV \citeyear[241]{SmitsVoorhoeve1992b};
		lawlaw	kangaroo	misc.	\cite{Donohue2010} (Mly. \it{laolao/saham})
Arguni	agf	utae;	kangaroo;	misc.	SV \citeyear[241]{SmitsVoorhoeve1992b};
		ayámbu	kangaroo	misc.	\cite{Narfafan2011}
Irarutu	irh	wasio	kangaroo	misc.	SV \citeyear[241]{SmitsVoorhoeve1992b}
		amore	kangaroo	**amoR	SV \citeyear[241]{SmitsVoorhoeve1992b}
Kuri	nbn	kabˈey	kangaroo	misc.	SV \citeyear[241]{SmitsVoorhoeve1992b}
Banda-Elat	bnd	mender	cuscus	**məntəR	\cite[196]{Ellen1993}
Banda-(Eli?)	bnd	mbender	cuscus	**məntəR	\cite[45]{Kakerissa1996}
Ambel	wgo	tamʧám;	cuscus;	misc.	\cite[777]{Arnold2018}, LA
		tamʧám hu;	ground cuscus;
		tamʧám malélen	kind of cuscus
Biga	bhc	ta³f;	cuscus;	misc.	
		kaˈsu³t	ground cuscus	misc.	LA
As	asz	do³;	cuscus;	**kVndoR(a)/**kindoR	LA
		le³ntati gu³	ground cuscus	misc.
Matbat	xmt	doː (?);	cuscus	**kVndoR(a)/**kindoR	\cite[241]{Blust1982}
		iba¹²¹ŋ	cuscus	misc.	\cite{Schapper2011}
Ma'ya	slz	amˈʧa¹²m	cuscus	misc.	LA
Legenyem	lcc	tamˈca¹²m	cuscus	misc.	LA
Salawati	xmx	yo³l;	cuscus;	misc.	LA
		əsu¹²k	ground cuscus	misc.
Batta	xmx	yo¹l;	cuscus;	misc.	LA
		qəwi¹²t	ground cuscus	misc.
Buli	bzq	do	small marsupial	**kVndoR(a)/**kindoR	\cite[241]{Blust1982}
Sawai	szw	sɛfsɛf	cuscus	misc.	\cite{WhislerWhisler1995b}
Patani	ptn	sifsɛf	cuscus	misc.	Linne Iren Sjånes Rødvand (pers. comm. August 2023)
Giman	gzn	do	cuscus	**kVndoR(a)/**kindoR	\cite{Teljeur-Grimes1990}
Taba	mky	kusok	cuscus	*kusor	\cite[105]{Collins1982a}
Biak	bhw	rambav	cuscus	misc.	\cite{Heuvel2019}
Roon	rnn	maŋgadiaβi	opossum	misc.	SV \citeyear[248]{SmitsVoorhoeve1992b}
Dusner	dsn	urɛm	opossum	misc.	SV \citeyear[248]{SmitsVoorhoeve1992b}
Meoswar	mvx	karau	opossum	misc.	SV \citeyear[248]{SmitsVoorhoeve1992b}
Yaur	jau	ˈubiɛ	opossum	misc.	SV \citeyear[249]{SmitsVoorhoeve1992b}
Yerisiam	ire	átóòrà 	cuscus	**kVndoR(a)	\cite[69]{Kamholz2014}
Yeretaur	gop	naˈgɔmbrar	opossum	misc.	SV \citeyear[249]{SmitsVoorhoeve1992b}
Moor	mhz	aˈtiɛta/aˈtiat	opossum	misc.	SV \citeyear[249]{SmitsVoorhoeve1992b}
Warembori	wsa	maya-ro/maye	cuscus	**mantəR	\cite{Donohue1999b}
Yoke	yki	maraɣi	cuscus	**mantəR	\cite{Donohue1999b}
Ansus	and	amu	cuscus	misc.	\cite{PriceDonohue2009}
Ambai	amk	fimuna;	cuscus;	misc.	\cite{Price2002}
		tumaŋ;	ground cuscus, Strigocuscus gymnotis	misc.
		waiwiraŋ tuwa;	common cuscus, Phalanger orientalis	misc.
		wintumaŋ	species of ringtail possum/cuscus	misc.
Wandamen	wad	aniai 	opossum	misc.	SV \citeyear[248]{SmitsVoorhoeve1992b}
Serui-Laut	seu	wondoi	opossum	misc.	SV \citeyear[248]{SmitsVoorhoeve1992b}
Matbat	xmt	isɔ¹²k	bandicoot, \it{Echymipera kalubu}		\cite{Schapper2011}
Ma'ya	slz	kalubu	bandicoot, \it{Echymipera kalubu}		\cite{Flannery1995}
Biak	bhw	karau (sop)	bandicoot, \it{Echymipera kalubu}		\cite{Schapper2011}
Moor	mhz	atíata	bandicoot		\cite{Schapper2011}
Ansus	and	pimunau	bandicoot		\cite{PriceDonohue2009}
Ambai	amk	kafa 	bandicoot (generic)		\cite{Price2002}
As	asz	mowɔ	kangaroo	misc.	SV \citeyear[241]{SmitsVoorhoeve1992b}
Biak	bhw	wane 	(tree) kangaroo	*wakin			SV \citeyear[241]{SmitsVoorhoeve1992b}
Roon	rnn	musiɛw; 	tree kangaroo;	**musi;			SV SV \citeyear[241]{SmitsVoorhoeve1992b};
		amɔr	kangaroo	**amoR			SV \citeyear[263]{SmitsVoorhoeve1992b}
Dusner	dsn	wa(e)n	kangaroo	*wakin			SV SV \citeyear[241]{SmitsVoorhoeve1992b}
Meoswar	mvx	amɔr	kangaroo	**amoR			SV SV \citeyear[241]{SmitsVoorhoeve1992b}
Yaur	jau	uahiɛ	kangaroo	misc.	SV SV \citeyear[241]{SmitsVoorhoeve1992b}
Yerisiam	ire	aure;	tree kangaroo	misc.	SV \citeyear[263]{SmitsVoorhoeve1992b}
		nahiːʤaka	kangaroo	misc.	SV \citeyear[241]{SmitsVoorhoeve1992b}
